Datetime,Temperature_35m,Salinity_35m,Temperature_75m,Salinity_75m,Temperature_100m,Salinity_100m
1990-04-23 22:30:00,8.555000000000001,32.13833333333333,7.918333333333333,33.013999999999996,,
1990-04-24 00:00:00,8.448916666666667,32.165124999999996,7.921770833333333,33.29175,,
1990-04-25 00:00:00,9.070270833333334,31.656458333333333,7.953937499999999,33.07010416666666,,
1990-04-26 00:00:00,8.585916666666668,32.04214583333333,7.8934375,33.189812499999995,,
1990-04-27 00:00:00,8.730208333333334,31.983249999999998,7.946333333333333,33.07327083333333,,
1990-04-28 00:00:00,8.509208333333333,32.18929166666667,7.81325,33.3615,,
1990-04-29 00:00:00,8.2328125,32.501604166666674,7.622145833333334,33.672291666666666,,
1990-04-30 00:00:00,8.217208333333334,32.41285416666667,7.7155625,33.510625,,
1990-05-01 00:00:00,8.2250625,32.495416666666664,7.619374999999999,33.47666666666667,,
1990-05-02 00:00:00,8.2569375,32.472125,7.479854166666667,33.555083333333336,,
1990-05-03 00:00:00,8.353604166666667,32.377583333333334,7.662708333333334,33.50122916666667,,
1990-05-04 00:00:00,8.414208333333333,32.283166666666666,7.722604166666667,33.420562499999996,,
1990-05-05 00:00:00,8.409479166666667,32.305770833333334,7.648083333333333,33.49947916666667,,
1990-05-06 00:00:00,8.0410625,32.698395833333336,7.441145833333333,33.785625,,
1990-05-07 00:00:00,7.644583333333333,33.3933125,7.019895833333334,33.89779166666667,,
1990-05-08 00:00:00,7.631,33.3515,6.861625000000001,33.917187500000004,,
1990-05-09 00:00:00,7.862916666666666,32.99285416666667,7.0797083333333335,33.80116666666667,,
1990-05-10 00:00:00,7.650958333333333,33.23625,6.833395833333334,33.89775,,
1990-05-11 00:00:00,7.195375000000001,33.5925,6.697125,33.933875,,
1990-05-12 00:00:00,7.391916666666667,33.418749999999996,6.7558125,33.87702083333334,,
1990-05-13 00:00:00,7.7934166666666655,33.07152083333333,7.058145833333334,33.737125,,
1990-05-14 00:00:00,7.702854166666666,33.200291666666665,7.2208749999999995,33.7295,,
1990-05-15 00:00:00,7.658020833333334,33.2515625,7.229770833333333,33.74514583333333,,
1990-05-16 00:00:00,7.883854166666667,33.0485,7.406375,33.643229166666664,,
1990-05-17 00:00:00,7.7445208333333335,33.14625,7.2962083333333325,33.717666666666666,,
1990-05-18 00:00:00,7.8374375,33.09016666666667,7.286791666666666,33.716,,
1990-05-19 00:00:00,8.0186875,32.94608333333333,7.393374999999999,33.596916666666665,,
1990-05-20 00:00:00,8.743791666666667,32.523520833333336,7.997354166666668,33.09164583333334,,
1990-05-21 00:00:00,9.379062500000002,32.313812500000004,8.186979166666667,32.89989583333333,,
1990-05-22 00:00:00,9.552083333333334,32.21479166666666,7.947916666666667,33.205083333333334,,
1990-05-23 00:00:00,9.346708333333334,32.30175,7.896000000000001,33.27427083333333,,
1990-05-24 00:00:00,9.114312499999999,32.38979166666667,7.871833333333334,33.2950625,,
1990-05-25 00:00:00,9.438916666666668,32.25058333333333,8.163583333333333,33.01508333333333,,
1990-05-26 00:00:00,9.971166666666667,32.11075,8.167166666666667,33.0659375,,
1990-05-27 00:00:00,10.183916666666667,32.08883333333333,8.637895833333333,32.78666666666667,,
1990-05-28 00:00:00,10.343874999999999,32.04752083333333,8.600020833333334,32.8623125,,
1990-05-29 00:00:00,10.445375,32.035270833333335,8.191958333333334,33.010958333333335,,
1990-05-30 00:00:00,10.6419375,31.854770833333333,8.677229166666669,32.7305,,
1990-05-31 00:00:00,10.562125,31.953999999999997,8.650541666666667,32.72002083333333,,
1990-06-01 00:00:00,10.65275,31.8431875,8.391125,32.8158125,,
1990-06-02 00:00:00,11.051499999999999,31.833395833333338,8.670083333333332,32.76443749999999,,
1990-06-03 00:00:00,11.093104166666668,31.823458333333335,9.265645833333332,32.43060416666666,,
1990-06-04 00:00:00,11.279291666666667,31.762270833333332,9.841812500000001,32.29333333333333,,
1990-06-05 00:00:00,11.225229166666665,31.744020833333334,8.773229166666667,32.55164583333334,,
1990-06-06 00:00:00,11.174979166666667,31.75945833333333,9.053166666666668,32.52995833333333,,
1990-06-07 00:00:00,11.123583333333334,31.752645833333332,9.097645833333333,32.4954375,,
1990-06-08 00:00:00,11.468020833333332,31.664270833333333,10.758229166666666,32.03279166666667,,
1990-06-09 00:00:00,11.494583333333333,31.621333333333336,8.878541666666665,32.66825,,
1990-06-10 00:00:00,11.180729166666667,31.691083333333335,8.424604166666667,32.8958125,,
1990-06-11 00:00:00,10.066645833333332,32.05885416666667,7.92425,33.2048125,,
1990-06-12 00:00:00,10.976625,31.75810416666667,8.095395833333333,33.12475,,
1990-06-13 00:00:00,10.105208333333334,32.02591666666667,7.544416666666668,33.603229166666665,,
1990-06-14 00:00:00,10.480958333333334,31.928187499999996,7.8901458333333325,33.29116666666667,,
1990-06-15 00:00:00,9.869250000000001,32.05529166666667,7.733895833333334,33.486125,,
1990-06-16 00:00:00,8.38225,32.687,7.545791666666666,33.7380625,,
1990-06-17 00:00:00,8.7536875,32.50610416666667,7.4717916666666655,33.76458333333333,,
1990-06-18 00:00:00,9.365,32.26570833333333,7.532208333333334,33.675375,,
1990-06-19 00:00:00,9.350145833333334,32.29052083333334,7.690645833333334,33.51047916666667,,
1990-06-20 00:00:00,9.1711875,32.30458333333333,7.8374375,33.32520833333333,,
1990-06-21 00:00:00,8.8581875,32.41583333333333,7.786229166666666,33.32085416666666,,
1990-06-22 00:00:00,8.193125,32.76325,7.3706249999999995,33.69952083333333,,
