station,latitude,longitude,water_depth,years_active
W1,75.25833333,-93.29166667,232,1978
W2,75.265,-93.00833333,146,1978|1995
W2A,48.675,-123.5245,79,1995
W2B,48.675,-123.5245,79,1995
W2E,53.29833333,-130.61,162,1983|1984
W3,75.26333333,-92.85,160,1978
W4,75.27166667,-92.62,188,1978
W5S,53.1805,-131.2795,196,1983
WASP96A,47.94925,-129.1019833,2095,1996|1997
WC,70.393583,-123.459512,-1,2018|2019|2020
WC01,75.22166667,-92.52833333,-1,1984
WC02,75.235,-92.56333333,-1,1984
WC03,75.235,-92.59,-1,1984
WC04,75.235,-92.66666667,-1,1984
WC05,75.24,-92.74,-1,1984
WC06,75.24,-92.99333333,-1,1984
WC07,75.25333333,-93.38,-1,1984
WC08,74.795,-92.15333333,-1,1984
WC10,74.79166667,-92.36,-1,1984
WC11,74.79666667,-92.46333333,-1,1984
WC12,74.795,-92.80166667,-1,1984
WC13,74.795,-93.29666667,-1,1984
WES,49.01333333,-123.16,-1,1984|1985
WH1,50.43666667,-128.445,202,1981
WH2,50.43833333,-128.4566667,201,1981|1982
WH3,50.48333333,-128.4166667,202,1982
WH4,50.48333333,-128.4166667,203,1982
WH99EPR,9.848333333,-107.6666667,2505,1999|2000
WOTAN-2,69.52666667,-117.4166667,220,1986
WP1,49.60333333,-126.8116667,-1,1981|1982|1983
West Atk.,69.81,-131.9966667,8,1981
West Atkin,69.8055,-131.9971667,8,1981
Zuc1,49.63343333,-126.4983833,194,2015|2016
