Station,Latitude,Longitude
E01,49.28833,-126.60352
SCOTT2,51.128,-129.47483
A1,48.53,-126.20
HAK1,51.71,-128.24
SRN1,53.11,-130.38
CHAT3,54.53,-130.54
JUAN2,52.52,-131.43
BP1,50.061,-127.891
E03,49.081,-126.952
SCOTT3,50.841,-129.478
